1.19432,
0.984224,
0.740868,
0.472479,
0.188126,
-0.102585,
-0.389829,
-0.663901,
-0.91554,
-1.13624,
-1.31856,
-1.45632,
-1.54487,
-1.58122,
-1.56414,
-1.49422,
-1.3738,
-1.20697,
-0.999351,
-0.757967,
-0.490972,
-0.207388,
0.0832031,
0.370983,
0.646228,
0.899638,
1.12265,
1.30773,
1.44862,
1.54056,
1.58045,
1.56694,
1.50048,
1.38333,
1.21943,
1.01433,
0.774952,
0.509392,
0.22662,
-0.0638089,
-0.352082,
-0.628458,
-0.8836,
-1.10889,
-1.2967,
-1.44071,
-1.53603,
-1.57945,
-1.5695,
-1.50653,
-1.39264,
-1.23171,
-1.02915,
-0.791819,
-0.527734,
-0.245817,
0.0444053,
0.333128,
0.610594,
0.867429,
1.09495,
1.28548,
1.43257,
1.53126,
1.57821,
1.57183,
1.51234,
1.40175,
1.2438,
1.04382,
0.808568,
0.545997,
0.264978,
-0.0249949,
-0.314123,
-0.592637,
-0.851127,
-1.08086,
-1.27407,
-1.42423,
-1.52626,
-1.57673,
-1.57392,
-1.51793,
-1.41065,
-1.2557,
-1.05833,
-0.825194,
-0.564178,
-0.284098,
0.00558072,
0.295071,
0.574591,
0.834697,
1.0666,
1.26246,
1.41567,
1.52104,
1.57501,
1.57577,
1.52329,
1.41933,
1.26742,
1.07268,
0.841697,
0.582274,
0.303176,
0.0138343,
-0.275975,
-0.556459,
-0.818141,
-1.05218,
-1.25066,
-1.40689,
-1.51558,
-1.57306,
-1.57739,
-1.52842,
-1.4278,
-1.27894,
-1.08687,
-0.858073,
-0.600282,
-0.322208,
-0.0332472,
0.256837,
0.538243,
0.801462,
1.0376,
1.23868,
1.39791,
1.5099,
1.57087,
1.57877,
1.53332,
1.43606,
1.29028,
1.1009,
0.874319,
0.6182,
0.341192,
0.0526551,
-0.237661,
-0.519946,
-0.784663,
-1.02287,
-1.22651,
-1.38871,
-1.50398,
-1.56844,
-1.57991,
-1.53798,
-1.4441,
-1.30141,
-1.11476,
-0.890434,
-0.636024,
-0.360124,
-0.0720551,
0.218448,
0.50157,
0.767745,
1.00798,
1.21415,
1.3793,
1.49785,
1.56578,
1.58081,
1.54242,
1.45192,
1.31236,
1.12845,
0.906415,
0.653753,
0.379002,
0.0914442,
-0.199203,
-0.483119,
-0.750711,
-0.992938,
-1.20161,
-1.36969,
-1.49148,
-1.56288,
-1.58147,
-1.54663,
-1.45952,
-1.3231,
-1.14197,
-0.922259,
-0.671383,
-0.397822,
-0.11082,
0.179928,
0.464595,
0.733565,
0.977748,
1.18889,
1.35987,
1.48489,
1.55975,
1.5819,
1.5506,
1.4669,
1.33364,
1.15532,
0.937964,
0.688913,
0.416584,
0.130178,
-0.160625,
-0.446002,
-0.716308,
-0.962411,
-1.176,
-1.34984,
-1.47808,
-1.55638,
-1.58208,
-1.55433,
-1.47407,
-1.34399,
-1.1685,
-0.953528,
-0.706338,
-0.435282,
-0.149517,
0.141299,
0.427341,
0.698943,
0.946929,
1.16292,
1.33962,
1.47105,
1.55277,
1.58203,
1.55784,
1.48101,
1.35413,
1.1815,
0.968949,
0.723657,
0.453914,
0.168834,
-0.121951,
-0.408616,
-0.681473,
-0.931305,
-1.14967,
-1.32919,
-1.46379,
-1.54894,
-1.58175,
-1.56111,
-1.48772,
-1.36407,
-1.19432,
-0.984224,
-0.740868,
-0.472479,
-0.188126,
0.102585,
0.389829,
0.663901,
0.91554,
1.13624,
1.31856,
1.45632,
1.54487,
1.58122,
1.56414,
1.49422,
1.3738,
1.20697,
0.999351,
0.757967,
0.490972,
0.207388,
-0.0832031,
-0.370983,
-0.646228,
-0.899638,
-1.12265,
-1.30773,
-1.44862,
-1.54056,
-1.58045,
-1.56694,
-1.50048,
-1.38333,
-1.21943,
-1.01433,
-0.774952,
-0.509392,
-0.22662,
0.0638089,
0.352082,
0.628458,
0.8836,
1.10889,
1.2967,
1.44071,
1.53603,
1.57945,
1.5695,
1.50653,
1.39264,
1.23171,
1.02915,
0.791819,
0.527734,
0.245817,
-0.0444053,
-0.333128,
-0.610594,
-0.867429,
-1.09495,
-1.28548,
-1.43257,
-1.53126,
-1.57821,
-1.57183,
-1.51234,
-1.40175,
-1.2438,
-1.04382,
-0.808568,
-0.545997,
-0.264978,
0.0249949,
0.314123,
0.592637,
0.851127,
1.08086,
1.27407,
1.42423,
1.52626,
1.57673,
1.57392,
1.51793,
1.41065,
1.2557,
1.05833,
0.825194,
0.564178,
0.284098,
-0.00558072,
-0.295071,
-0.574591,
-0.834697,
-1.0666,
-1.26246,
-1.41567,
-1.52104,
-1.57501,
-1.57577,
-1.52329,
-1.41933,
-1.26742,
-1.07268,
-0.841697,
-0.582274,
-0.303176,
-0.0138343,
0.275975,
0.556459,
0.818141,
1.05218,
1.25066,
1.40689,
1.51558,
1.57306,
1.57739,
1.52842,
1.4278,
1.27894,
1.08687,
0.858073,
0.600282,
0.322208,
0.0332472,
-0.256837,
-0.538243,
-0.801462,
-1.0376,
-1.23868,
-1.39791,
-1.5099,
-1.57087,
-1.57877,
-1.53332,
-1.43606,
-1.29028,
-1.1009,
-0.874319,
-0.6182,
-0.341192,
-0.0526551,
0.237661,
0.519946,
0.784663,
1.02287,
1.22651,
1.38871,
1.50398,
1.56844,
1.57991,
1.53798,
1.4441,
1.30141,
1.11476,
0.890434,
0.636024,
0.360124,
0.0720551,
-0.218448,
-0.50157,
-0.767745,
-1.00798,
-1.21415,
-1.3793,
-1.49785,
-1.56578,
-1.58081,
-1.54242,
-1.45192,
-1.31236,
-1.12845,
-0.906415,
-0.653753,
-0.379002,
-0.0914442,
0.199203,
0.483119,
0.750711,
0.992938,
1.20161,
1.36969,
1.49148,
1.56288,
1.58147,
1.54663,
1.45952,
1.3231,
1.14197,
0.922259,
0.671383,
0.397822,
0.11082,
-0.179928,
-0.464595,
-0.733565,
-0.977748,
-1.18889,
-1.35987,
-1.48489,
-1.55975,
-1.5819,
-1.5506,
-1.4669,
-1.33364,
-1.15532,
-0.937964,
-0.688913,
-0.416584,
-0.130178,
0.160625,
0.446002,
0.716308,
0.962411,
1.176,
